,name,type,price,star,comment,taste,env,service,recommend.0,recommend.1,recommend.2,zone,address,location
105,陳八两面家(紫金港店),面馆,￥23,五星商户,362.0,9.0,8.7,9.0,老酸菜牛腱面,猪肝面,雪菜牛腱子面,三墩镇,龙宇街望月商铺43号,"120.100418,30.312865"
106,岱石香海鲜砂锅粥(滨江店),小吃快餐,￥82,四星商户,1690.0,8.4,8.2,8.3,招牌美味虾粥,手撕鸡,花蛤干贝虾粥,星光大道,江晖路1194号中嬴国际商务大厦1楼,"120.211020,30.199817"
107,素勤饮食店,小吃快餐,￥44,四星商户,53.0,8.0,6.8,7.7,酸菜鱼,白斩鸡,爆炒猪肝,吴山广场/河坊街,城头巷101号,"120.176613,30.243778"
108,浙大留学生食堂,小吃快餐,￥23,准五星商户,1698.0,8.1,7.2,7.4,八宝油条,糖醋里脊,葱油鲈鱼,西湖北线/黄龙,浙大路38号浙江大学玉泉校区内,"120.123077,30.263842"
109,味灵轩,小吃快餐,￥17,准五星商户,110.0,8.2,8.9,8.6,葱油拌面,牛肉书饼,白玉豆浆（原味）,西湖北线/黄龙,莫干山路11号,"120.154289,30.273286"
110,红帽小吃馆,小吃快餐,￥23,准四星商户,214.0,7.3,6.6,6.9,肉包,韭菜包,豆腐包,西湖北线/黄龙,保俶路116号,"120.148883,30.265395"
111,漫芝坞(教工路店),小吃快餐,￥41,五星商户,154.0,8.9,9.1,9.0,漫芝坞秘制卤肉饭,漫芝坞仅有的豆腐饭,漫芝坞招牌三拼饭,高新文教区,教工路234号,"120.135766,30.286830"
112,石川咖喱堂,小吃快餐,￥43,准五星商户,310.0,8.6,8.3,8.7,蛋包饭咖喱饭,炸猪排,大福,解放路沿线,中山中路336号,"120.170468,30.251608"
113,冯记食铺【北京传统小吃】,小吃快餐,￥40,四星商户,676.0,7.9,7.7,7.6,卤煮火烧,牛肉大葱,爆肚儿,湖滨,邮电路16号1-102,"120.169833,30.252030"
114,南方迷宗大包,小吃快餐,￥5,四星商户,972.0,8.2,7.8,8.0,南方肉包,南方油包,酒酿豆浆,湖滨,邮电路与延安路交叉口西行20米路北,"120.164218,30.251629"
115,温州小吃,小吃快餐,￥27,四星商户,71.0,8.0,7.3,7.6,温州海鲜炒粉干,矾山肉燕,温州特色炒海鲜炒年糕,凤起路沿线,孩儿巷77号,"120.167543,30.261157"
116,老齐生煎,小吃快餐,￥10,四星商户,207.0,8.1,7.2,7.7,猪肉煎包,牛肉煎饺,猪肉煎饺,湖墅南路,夹城巷11号,"120.151237,30.289009"
117,老陈大肠店,小吃快餐,￥31,准四星商户,37.0,7.7,7.3,7.8,卤大肠,喜蛋,,吴山广场/河坊街,丰家兜茅廊巷农贸市场一楼,"120.175016,30.249682"
118,食货品鲜录-深夜暖心食堂,小吃快餐,￥47,四星商户,120.0,8.3,8.1,8.5,臭豆腐,猪蹄,香酥凤爪,转塘,转塘梦湖路金街美地3号楼2层216,"120.078591,30.147425"
119,方老大面,面馆,￥34,准五星商户,1057.0,8.9,7.5,7.8,腰花片儿川,腰花番茄汁拌川,爆鳝面,吴山广场/河坊街,江城路629号,"120.176133,30.235697"
120,福华园过桥米线,小吃快餐,￥27,四星商户,382.0,8.2,7.2,7.4,云南过桥米线,白切鸡,千张包,湖滨,巷口李博士桥6号,
121,阿一师卤肉饭(杭州大厦501店),小吃快餐,￥26,准五星商户,325.0,8.4,8.4,8.6,阿一師滷肉飯套餐（原味/辣味）,金牌控肉飯套餐,嘉義雞肉飯套餐,钱江新城,庆春东路庆春广场西侧西子国际写字楼B座杭州大厦501城市广场负一楼,"120.203639,30.259792"
122,阿胖粽(潮王路店),小吃快餐,￥12,四星商户,69.0,8.5,7.9,8.4,经典肉粽,蛋黄肉粽,细沙大粽,湖墅南路,潮王路莫干新村15幢一单元,"120.149972,30.284352"
123,何太急鲜肉生煎,小吃快餐,￥8,四星商户,73.0,8.0,7.4,7.7,鲜肉煎饺,煎包,生煎,高新文教区,文三路342号,"120.132931,30.277110"
124,争火烫捞(西溪印象城店),小吃快餐,￥30,准五星商户,209.0,8.5,8.6,8.9,芝士年糕,豆奶,鲜美鸡汤,西溪印象城,五常大道西溪印象城1-BM14号,"120.049574,30.247444"
125,卤儿道道(湖滨银泰in77店),小吃快餐,￥42,四星商户,646.0,8.1,7.8,7.7,卤鸡爪,卤味双拼,酒酿圆子,湖滨,延安路258号湖滨银泰in77B区B1层,"120.163524,30.255112"
